Priority,Category,File,Total,Log,Error,Warn,Debug,Info,Status,Notes
A-最優先,API,app/api/trip/[id]/route.ts,28,19,8,1,0,0,未対応,
A-最優先,API,app/api/trips/route.ts,19,16,3,0,0,0,未対応,
A-最優先,API,app/api/users/migrate/route.ts,16,14,2,0,0,0,未対応,
A-最優先,API,app/api/trips/recommended/route.ts,12,9,2,1,0,0,未対応,
A-最優先,API,app/api/debug/auth/route.ts,11,8,2,1,0,0,未対応,
A-最優先,API,app/api/itineraries/insert/route.ts,10,8,2,0,0,0,未対応,
A-最優先,API,app/api/itineraries/route.ts,9,5,4,0,0,0,未対応,
A-最優先,API,app/api/trips/[id]/route.ts,8,4,4,0,0,0,未対応,
A-最優先,API,app/api/users/route.ts,6,4,2,0,0,0,未対応,
A-最優先,API,app/api/itineraries/reorder/route.ts,5,3,1,1,0,0,未対応,
A-最優先,API,app/api/itineraries/[id]/route.ts,4,2,2,0,0,0,未対応,
A-最優先,API,app/api/places/search/route.ts,4,3,1,0,0,0,未対応,
A-最優先,API,app/api/trips/accessible/route.ts,4,0,3,1,0,0,未対応,
A-最優先,API,app/api/user/plan/route.ts,4,0,2,2,0,0,未対応,
A-最優先,API,app/api/distance/batch/route.ts,3,1,1,1,0,0,未対応,
A-最優先,API,app/api/route-optimization/route.ts,3,1,2,0,0,0,未対応,
A-最優先,API,app/api/debug/firebase/route.ts,2,1,1,0,0,0,未対応,
A-最優先,API,app/api/plans/route.ts,2,0,2,0,0,0,未対応,
A-最優先,API,app/api/storage/quota/route.ts,2,0,2,0,0,0,未対応,
A-最優先,API,app/api/storage/usage/route.ts,2,0,2,0,0,0,未対応,
A-最優先,API,app/api/templates/route.ts,2,0,2,0,0,0,未対応,
A-最優先,API,app/api/unsplash/route.ts,2,0,2,0,0,0,未対応,
A-最優先,API,app/api/distance/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/geocoding/geocode/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/geocoding/reverse/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/itineraries/duplicate-to-day/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/itineraries/move-to-day/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/migrate/places-to-cache/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/places/details/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/plans/[id]/duplicate/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/plans/[id]/template/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/trip/[id]/day/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/trips/recommendations/route.ts,1,0,1,0,0,0,未対応,
A-最優先,API,app/api/users/check-slug/route.ts,1,0,1,0,0,0,未対応,
B-高,Library,lib/places-cache.ts,30,17,13,0,0,0,未対応,
B-高,Library,lib/image-upload.ts,29,15,6,8,0,0,未対応,
B-高,Library,lib/weather-api.ts,21,11,5,5,0,0,未対応,
B-高,Library,lib/country-utils.ts,20,19,0,1,0,0,未対応,
B-高,Library,lib/slug-data-helpers.ts,15,12,3,0,0,0,未対応,
B-高,Library,lib/route-optimization.ts,12,6,6,0,0,0,未対応,
B-高,Library,lib/timezone-utils.ts,10,1,7,2,0,0,未対応,
B-高,Library,lib/itinerary-reorder.ts,8,5,3,0,0,0,未対応,
B-高,Library,lib/firebase-admin.ts,7,1,6,0,0,0,未対応,
B-高,Library,lib/storage-management.ts,7,1,5,1,0,0,未対応,
B-高,Library,lib/browser-info.ts,6,0,0,6,0,0,未対応,
B-高,Library,lib/currency-utils.ts,6,1,4,1,0,0,未対応,
B-高,Library,lib/plan-save-operations.ts,6,0,6,0,0,0,未対応,
B-高,Library,lib/user-data-context.tsx,6,0,6,0,0,0,未対応,
B-高,Library,lib/auth-context.tsx,5,2,3,0,0,0,未対応,
B-高,Library,lib/places-api.ts,5,3,2,0,0,0,未対応,
B-高,Library,lib/unsplash-api.ts,5,0,5,0,0,0,未対応,
